id,species_key,split_role,sr_original,sr_processed,dur_original_sec,dur_processed_sec,rms_original,rms_processed,peak_original,peak_processed
898779,Caprimulgus_pulchellus,gallery,44100,32000,11.34,5.0,0.0555,0.05,0.4005,0.3152
898780,Caprimulgus_pulchellus,gallery,44100,32000,22.67,5.0,0.0455,0.05,0.273,0.2952
898781,Caprimulgus_pulchellus,gallery,44100,32000,31.9,5.0,0.0583,0.05,0.4506,0.3471
23119,Caprimulgus_pulchellus,gallery,44100,32000,14.65,5.0,0.0619,0.05,0.4646,0.2726
241698,Caprimulgus_pulchellus,gallery,44100,32000,81.0,5.0,0.0083,0.05,0.0992,0.4716
756648,Caprimulgus_pulchellus,gallery,48000,32000,14.17,5.0,0.006,0.05,0.1159,0.7959
90805,Caprimulgus_pulchellus,gallery,44100,32000,36.55,5.0,0.0606,0.05,0.9687,0.3224
204324,Caprimulgus_pulchellus,gallery,44100,32000,18.73,5.0,0.0567,0.05,0.8919,0.5973
296497,Caprimulgus_pulchellus,gallery,44100,32000,14.24,5.0,0.0212,0.05,0.1826,0.3418
296507,Caprimulgus_pulchellus,gallery,44100,32000,16.43,5.0,0.0468,0.05,0.4583,0.4392
196213,Carpococcyx_viridis,query_clean,44100,32000,67.21,5.0,0.1291,0.05,0.7577,0.1682
196215,Carpococcyx_viridis,gallery,44100,32000,11.36,5.0,0.1183,0.05,0.7493,0.2396
301157,Carpococcyx_viridis,calibration,44100,32000,69.17,5.0,0.093,0.05,0.8232,0.2595
306523,Carpococcyx_viridis,gallery,44100,32000,27.04,5.0,0.0305,0.05,0.2417,0.2719
37883,Carpococcyx_viridis,gallery,44100,32000,73.2,5.0,0.042,0.05,0.3383,0.2813
56936,Carpococcyx_viridis,gallery,44100,32000,49.99,5.0,0.0773,0.05,0.8007,0.2713
56937,Carpococcyx_viridis,gallery,44100,32000,19.59,5.0,0.1214,0.05,0.7826,0.2614
943912,Carpococcyx_viridis,gallery,48000,32000,10.01,5.0,0.0436,0.05,0.2189,0.1865
943914,Carpococcyx_viridis,gallery,48000,32000,64.49,5.0,0.0778,0.05,0.7745,0.2529
943914,Carpococcyx_viridis,gallery,48000,32000,64.49,5.0,0.0778,0.05,0.7745,0.2529
943916,Carpococcyx_viridis,gallery,48000,32000,14.08,5.0,0.1932,0.05,0.8952,0.1843
943924,Carpococcyx_viridis,gallery,48000,32000,125.76,5.0,0.09,0.05,0.6944,0.208
964067,Carpococcyx_viridis,gallery,48000,32000,44.89,5.0,0.1305,0.05,1.0095,0.1697
37882,Carpococcyx_viridis,gallery,44100,32000,73.14,5.0,0.0772,0.05,1.0124,0.2986
38431,Carpococcyx_viridis,gallery,44100,32000,17.4,5.0,0.0659,0.05,0.7102,0.4031
38432,Carpococcyx_viridis,gallery,44100,32000,43.6,5.0,0.0289,0.05,0.4906,0.7535
56938,Carpococcyx_viridis,gallery,44100,32000,11.96,5.0,0.0298,0.05,0.3901,0.6068
85992,Carpococcyx_viridis,gallery,44100,32000,57.1,5.0,0.1177,0.05,0.9852,0.2589
85992,Carpococcyx_viridis,gallery,44100,32000,57.1,5.0,0.1177,0.05,0.9852,0.2589
196214,Carpococcyx_viridis,gallery,44100,32000,28.25,5.0,0.1229,0.05,0.8734,0.2792
39501,Carpococcyx_viridis,gallery,32000,32000,2.45,5.0,0.2796,0.05,1.0137,0.2591
1082288,Erythropitta_venusta,query_clean,44100,32000,40.15,5.0,0.0888,0.05,0.6122,0.2424
409391,Erythropitta_venusta,calibration,48000,32000,47.57,5.0,0.0359,0.05,0.2949,0.1715
409392,Erythropitta_venusta,gallery,48000,32000,109.85,5.0,0.0627,0.05,0.4542,0.2098
39503,Erythropitta_venusta,gallery,32000,32000,4.14,5.0,0.1994,0.05,0.7182,0.1979
39504,Erythropitta_venusta,gallery,32000,32000,17.35,5.0,0.1629,0.05,0.9399,0.2054
691499,Erythropitta_venusta,gallery,44100,32000,87.05,5.0,0.0974,0.05,0.9194,0.182
241696,Gypsophila_rufipectus,query_clean,44100,32000,54.52,5.0,0.0037,0.05,0.0809,0.6726
241697,Gypsophila_rufipectus,gallery,44100,32000,171.22,5.0,0.0064,0.05,0.1696,0.5237
396689,Gypsophila_rufipectus,calibration,44100,32000,37.83,5.0,0.0792,0.05,1.0416,0.3752
409566,Gypsophila_rufipectus,gallery,48000,32000,86.86,5.0,0.0878,0.05,0.8765,0.3283
476562,Gypsophila_rufipectus,gallery,44100,32000,131.96,5.0,0.0401,0.05,0.7788,0.28
497648,Gypsophila_rufipectus,gallery,48000,32000,72.12,5.0,0.0937,0.05,0.9481,0.3213
497649,Gypsophila_rufipectus,gallery,48000,32000,129.07,5.0,0.0923,0.05,1.2143,0.2011
648648,Gypsophila_rufipectus,gallery,48000,32000,36.09,5.0,0.1222,0.05,0.7038,0.2017
648651,Gypsophila_rufipectus,gallery,48000,32000,39.77,5.0,0.0328,0.05,0.3971,0.3351
648652,Gypsophila_rufipectus,gallery,48000,32000,21.62,5.0,0.047,0.05,0.5021,0.3826
691495,Gypsophila_rufipectus,gallery,44100,32000,34.82,5.0,0.0728,0.05,0.9243,0.4092
69431,Gypsophila_rufipectus,gallery,44100,32000,71.14,5.0,0.1384,0.05,0.9085,0.2123
963345,Gypsophila_rufipectus,gallery,48000,32000,28.29,5.0,0.0918,0.05,0.7603,0.3012
963352,Gypsophila_rufipectus,gallery,48000,32000,48.56,5.0,0.0854,0.05,1.0044,0.3272
196211,Gypsophila_rufipectus,gallery,44100,32000,49.93,5.0,0.0054,0.05,0.0662,0.4103
23118,Gypsophila_rufipectus,gallery,44100,32000,38.69,5.0,0.1519,0.05,1.0913,0.3079
241690,Gypsophila_rufipectus,gallery,44100,32000,56.36,5.0,0.0057,0.05,0.102,0.5054
241691,Gypsophila_rufipectus,gallery,44100,32000,37.14,5.0,0.0082,0.05,0.1124,0.484
241692,Gypsophila_rufipectus,gallery,44100,32000,112.2,5.0,0.0059,0.05,0.1121,0.4425
241693,Gypsophila_rufipectus,gallery,44100,32000,24.88,5.0,0.0081,0.05,0.1051,0.4615
241694,Gypsophila_rufipectus,gallery,44100,32000,26.64,5.0,0.0048,0.05,0.0584,0.3957
241695,Gypsophila_rufipectus,gallery,44100,32000,173.9,5.0,0.0049,0.05,0.2192,0.7037
393112,Gypsophila_rufipectus,gallery,44100,32000,12.73,5.0,0.069,0.05,0.6646,0.4277
39507,Gypsophila_rufipectus,gallery,32000,32000,9.14,5.0,0.1208,0.05,0.9987,0.3512
396596,Gypsophila_rufipectus,gallery,44100,32000,22.18,5.0,0.0931,0.05,0.9437,0.3862
396597,Gypsophila_rufipectus,gallery,44100,32000,41.86,5.0,0.0808,0.05,0.5976,0.2337
70301,Gypsophila_rufipectus,gallery,44100,32000,62.2,5.0,0.1055,0.05,0.9695,0.2528
79433,Gypsophila_rufipectus,gallery,44100,32000,47.88,5.0,0.0356,0.05,0.6991,0.3267
39510,Hydrornis_schneideri,query_clean,32000,32000,15.23,5.0,0.1596,0.05,0.8559,0.2506
374028,Hydrornis_schneideri,calibration,44100,32000,75.81,5.0,0.0121,0.05,0.211,0.2579
90893,Hydrornis_schneideri,gallery,44100,32000,29.98,5.0,0.0352,0.05,0.3982,0.3395
241699,Hydrornis_schneideri,gallery,44100,32000,65.63,5.0,0.004,0.05,0.0491,0.4422
241701,Hydrornis_schneideri,gallery,44100,32000,11.16,5.0,0.0024,0.05,0.0377,0.5666
391060,Hydrornis_schneideri,gallery,44100,32000,11.23,5.0,0.0166,0.05,0.1383,0.3559
648641,Ixos_sumatranus,query_clean,44100,32000,34.48,5.0,0.0262,0.05,0.5333,0.6448
431602,Ixos_sumatranus,gallery,22050,32000,28.09,5.0,0.0402,0.05,0.9352,1.0
90811,Ixos_sumatranus,gallery,44100,32000,49.09,5.0,0.0481,0.05,0.6813,0.4746
431750,Lophura_inornata,gallery,22050,32000,82.02,5.0,0.0998,0.05,1.101,0.3417
431519,Lophura_inornata,query_clean,22050,32000,19.37,5.0,0.1061,0.05,1.0033,0.2437
409557,Myophonus_melanurus,query_clean,48000,32000,27.1,5.0,0.0218,0.05,0.4446,0.5626
431615,Myophonus_melanurus,calibration,22050,32000,12.9,5.0,0.1,0.05,1.1114,0.4243
431616,Myophonus_melanurus,gallery,22050,32000,2.66,5.0,0.0627,0.05,0.5613,0.6338
431618,Myophonus_melanurus,gallery,22050,32000,2.58,5.0,0.11,0.05,0.7932,0.5498
648643,Myophonus_melanurus,gallery,48000,32000,23.06,5.0,0.0314,0.05,0.424,0.5365
90890,Myophonus_melanurus,gallery,44100,32000,21.7,5.0,0.0254,0.0499,0.7694,1.0
241702,Myophonus_melanurus,gallery,44100,32000,4.02,5.0,0.0097,0.05,0.1599,0.8927
241703,Myophonus_melanurus,gallery,44100,32000,39.92,5.0,0.009,0.05,0.2214,0.777
241704,Myophonus_melanurus,gallery,44100,32000,28.91,5.0,0.0058,0.05,0.156,0.9099
241705,Myophonus_melanurus,gallery,44100,32000,18.63,5.0,0.0092,0.05,0.1453,0.6524
241706,Myophonus_melanurus,gallery,44100,32000,14.7,5.0,0.008,0.05,0.2139,0.8743
409555,Myophonus_melanurus,gallery,48000,32000,19.63,5.0,0.0415,0.05,0.4655,0.4452
431617,Myophonus_melanurus,gallery,22050,32000,18.28,5.0,0.0671,0.05,0.7477,0.3878
681410,Myophonus_melanurus,gallery,44100,32000,51.06,5.0,0.0304,0.05,0.8948,0.7123
81137,Myophonus_melanurus,gallery,44100,32000,23.25,5.0,0.0308,0.05,0.2682,0.3629
196221,Napothera_albostriata,query_clean,44100,32000,15.88,5.0,0.1505,0.05,0.8282,0.2639
241730,Napothera_albostriata,calibration,44100,32000,151.2,5.0,0.0032,0.05,0.0572,0.379
409580,Napothera_albostriata,gallery,48000,32000,25.32,5.0,0.062,0.05,0.5326,0.3203
409582,Napothera_albostriata,gallery,48000,32000,37.13,5.0,0.0839,0.05,0.7377,0.2685
431530,Napothera_albostriata,gallery,22050,32000,9.91,5.0,0.047,0.05,0.5655,0.4303
431533,Napothera_albostriata,gallery,22050,32000,14.87,5.0,0.0314,0.05,0.7997,0.8018
431534,Napothera_albostriata,gallery,22050,32000,14.61,5.0,0.0654,0.05,1.0053,0.6637
431536,Napothera_albostriata,gallery,22050,32000,22.63,5.0,0.0687,0.05,1.0634,0.5316
576884,Napothera_albostriata,gallery,44100,32000,32.52,5.0,0.004,0.05,0.1147,0.3875
963458,Napothera_albostriata,gallery,48000,32000,12.16,5.0,0.0719,0.05,0.6231,0.3315
195583,Napothera_albostriata,gallery,44100,32000,27.33,5.0,0.0078,0.05,0.0627,0.308
195585,Napothera_albostriata,gallery,44100,32000,48.36,5.0,0.007,0.05,0.0858,0.3768
195587,Napothera_albostriata,gallery,44100,32000,66.18,5.0,0.0074,0.05,0.117,0.3478
241728,Napothera_albostriata,gallery,44100,32000,22.93,5.0,0.0026,0.05,0.04,0.6307
241729,Napothera_albostriata,gallery,44100,32000,132.71,5.0,0.0066,0.05,0.0929,0.3088
301154,Napothera_albostriata,gallery,48000,32000,60.86,5.0,0.0301,0.05,0.5268,0.3445
648646,Napothera_albostriata,gallery,48000,32000,23.95,5.0,0.0231,0.05,0.1932,0.3687
79361,Napothera_albostriata,gallery,44100,32000,51.91,5.0,0.0635,0.05,0.9484,0.6326
70293,Napothera_albostriata,gallery,44100,32000,27.12,5.0,0.0212,0.05,0.1286,0.365
210245,Pellorneum_buettikoferi,query_clean,44100,32000,70.95,5.0,0.0365,0.05,0.4417,0.3206
210248,Pellorneum_buettikoferi,gallery,44100,32000,49.69,5.0,0.0256,0.05,0.5463,0.3765
301153,Pellorneum_buettikoferi,calibration,44100,32000,32.9,5.0,0.0397,0.05,0.3294,0.2771
210249,Pellorneum_buettikoferi,gallery,44100,32000,29.15,5.0,0.0883,0.05,0.9138,0.4204
210251,Pellorneum_buettikoferi,gallery,44100,32000,51.31,5.0,0.1021,0.05,1.073,0.3411
511152,Pellorneum_buettikoferi,gallery,44100,32000,18.47,5.0,0.0324,0.05,1.0078,0.4455
628806,Pellorneum_buettikoferi,gallery,44100,32000,52.32,5.0,0.0634,0.05,0.7005,0.2903
956514,Pellorneum_buettikoferi,gallery,48000,32000,34.75,5.0,0.0268,0.05,0.1786,0.2146
210247,Pellorneum_buettikoferi,gallery,44100,32000,31.14,5.0,0.1157,0.05,0.847,0.2264
296501,Picus_dedemi,query_clean,44100,32000,18.08,5.0,0.0254,0.0449,1.1131,1.0
490581,Picus_dedemi,calibration,48000,32000,54.44,5.0,0.0528,0.05,0.6258,0.2764
296503,Picus_dedemi,gallery,44100,32000,9.48,5.0,0.0351,0.05,0.3003,0.3217
296504,Picus_dedemi,gallery,44100,32000,8.7,5.0,0.0965,0.05,1.0288,0.4814
1082270,Polyplectron_chalcurum,query_clean,44100,32000,20.44,5.0,0.074,0.05,0.6711,0.3504
409403,Polyplectron_chalcurum,calibration,48000,32000,25.49,5.0,0.0651,0.05,0.7257,0.3768
576881,Polyplectron_chalcurum,gallery,44100,32000,16.31,5.0,0.0093,0.05,0.1351,0.594
598654,Polyplectron_chalcurum,gallery,44100,32000,19.97,5.0,0.1484,0.05,0.7745,0.2361
70193,Polyplectron_chalcurum,gallery,44100,32000,44.59,5.0,0.0649,0.05,0.8869,0.4284
1082256,Polyplectron_chalcurum,gallery,44100,32000,39.26,5.0,0.067,0.05,0.4559,0.2631
1082286,Polyplectron_chalcurum,gallery,44100,32000,104.52,5.0,0.0595,0.05,0.588,0.318
196220,Polyplectron_chalcurum,gallery,44100,32000,13.53,5.0,0.1053,0.05,0.9644,0.3986
213817,Polyplectron_chalcurum,gallery,44100,32000,19.86,5.0,0.0086,0.05,0.1688,0.7526
391061,Polyplectron_chalcurum,gallery,44100,32000,3.16,5.0,0.1276,0.05,0.844,0.4125
409404,Polyplectron_chalcurum,gallery,48000,32000,19.87,5.0,0.0309,0.05,0.3852,0.5163
56932,Polyplectron_chalcurum,gallery,44100,32000,31.78,5.0,0.0604,0.05,0.858,0.5055
681416,Polyplectron_chalcurum,gallery,44100,32000,48.92,5.0,0.0655,0.05,1.2652,0.6352
691500,Polyplectron_chalcurum,gallery,44100,32000,31.39,5.0,0.0339,0.05,0.9459,1.0
943629,Polyplectron_chalcurum,gallery,48000,32000,21.22,5.0,0.0068,0.05,0.1234,0.7897
943630,Polyplectron_chalcurum,gallery,48000,32000,43.78,5.0,0.0064,0.05,0.0842,0.5254
39499,Polyplectron_chalcurum,gallery,32000,32000,10.51,5.0,0.1098,0.05,0.9967,0.4042
90808,Polyplectron_chalcurum,gallery,44100,32000,24.97,5.0,0.0662,0.05,0.7498,0.4182
409405,Polyplectron_chalcurum,gallery,48000,32000,17.3,5.0,0.0552,0.05,0.6232,0.3941
